,run,n_sites,theta,exp_order,ediff,direct,fmm
0,0,26883,0.5,5,1.0817564884746389e-05,1780.7364689899841,737.9977090150351
1,1,26883,0.5,5,1.081756283838331e-05,1708.0900057030376,740.0615148489596
2,2,26883,0.5,5,1.0817564998433227e-05,1720.5122418019455,738.5847320370376
