,run,n_sites,theta,exp_order,ediff,direct,fmm
0,0,41448,0.5,5,0.0002467736211428928,3442.7892018910497,1021.0684278659755
1,1,41448,0.5,5,0.0002467736229618822,3586.594698889996,1020.6178681129823
2,2,41448,0.5,5,0.00024677362011971127,3487.679085518932,1020.626846936997
