,excitation,kind,cross_section,excitation_energy,excitation_energy_uncorrected,oscillator_strength,oscillator_strength_velocity,rotatory_strength,state_dipole_moment_x,state_dipole_moment_y,state_dipole_moment_z,transition_dipole_moment_x,transition_dipole_moment_y,transition_dipole_moment_z,transition_dipole_moment_velocity_x,transition_dipole_moment_velocity_y,transition_dipole_moment_velocity_z,transition_magnetic_dipole_moment_x,transition_magnetic_dipole_moment_y,transition_magnetic_dipole_moment_z,pe_ptlr_correction,pe_ptss_correction
0,0,singlet,6.379438534719367e-07,0.13516303574867597,0.1352719416552422,4.4288134441427334e-06,7.060721035992569e-06,-0.0010468906263041327,0.1730387880058884,0.4366820247697062,1.8193574639386862,0.0032708438455132,-0.0015397346422975204,0.006006702867060813,-0.0006965391355498557,0.0005917652122702369,-0.0007721203927453018,-0.013794012046853795,0.06532585536228612,0.24577326906941976,-2.250357990870643e-06,-0.00010665554857536561
1,1,singlet,0.06392627715875301,0.1575171006797381,0.15952392322029876,0.443796980210476,0.38282880215026577,0.001649533736878111,-0.1079051020675449,1.5092189511756882,6.2845098428251935,0.1277944468407713,-0.4822627248100277,-1.9943094769483811,-0.01813064893381122,0.07073055167814235,0.2917560506410363,-0.030314481653193295,0.017062303184481414,-0.0051296881987805696,-0.0007868074186685116,-0.0012200151218921586
2,2,singlet,0.0003198968846932254,0.15998529907856512,0.16010599904252665,0.0022208280806502952,0.0024732058700283107,0.00016353145928900179,0.13805494645515287,0.477349368737198,1.8688951942814218,0.040603188157497104,0.0815451347175952,0.1119104487025447,-0.009140614792646117,-0.01524205579450247,-0.016662645875392842,-0.36625381846521404,0.3319945860228681,-0.10434462660565652,-1.5068229473358908e-05,-0.00010563173448817072
3,3,singlet,0.001454636631458807,0.17435832938749357,0.17442655047781983,0.010098559982490155,0.009287527154787109,-0.009385421481437879,0.08119861733745157,0.827130791739749,3.467486919530894,-0.21792804974003843,0.1906671436501404,-0.055054921073376166,0.03721690237493216,-0.030832211850629218,0.009659889662267414,-0.25589684967900994,-0.24265264245379506,0.04200296260006831,-1.923510915996207e-05,-4.8985981166285534e-05
4,4,singlet,0.0004562848634127895,0.18673549192328226,0.18835710015545523,0.003167677729698964,0.008539858089791488,0.004836326379462647,1.1615199188127554,-0.791266252327255,-0.47481210069560476,-0.10302400529275225,-0.11615459656390557,-0.03659693169673122,0.03365782299073171,0.035369655902384625,0.0028601214834047283,-0.16145437372955523,0.18310882836814452,-0.048662175798587656,-2.4828187429693426e-05,-0.0015967800447432932
