,excitation,kind,cross_section,excitation_energy,excitation_energy_uncorrected,oscillator_strength,oscillator_strength_velocity,rotatory_strength,state_dipole_moment_x,state_dipole_moment_y,state_dipole_moment_z,transition_dipole_moment_x,transition_dipole_moment_y,transition_dipole_moment_z,transition_dipole_moment_velocity_x,transition_dipole_moment_velocity_y,transition_dipole_moment_velocity_z,transition_magnetic_dipole_moment_x,transition_magnetic_dipole_moment_y,transition_magnetic_dipole_moment_z,pe_ptlr_correction,pe_ptss_correction
0,0,singlet,4.6302015951591e-07,0.13515232807947075,0.13526121369828142,3.2144363429678893e-06,3.8659753034202645e-06,-0.0006597509507689367,0.17240825169553903,0.4363840042890281,1.8172576104862728,-0.0029243993607099427,0.0014375518469085177,-0.0050057005036763065,0.0005307015675572708,-0.0004799836625358246,0.0005212627684032609,0.014196081204927165,-0.06513710601473309,-0.24549136053129744,-2.2298730144210645e-06,-0.00010665574579623129
1,1,singlet,0.0638705881469503,0.1575700239479467,0.15957239707131468,0.4434103690019494,0.3824414821473564,0.0016522392437097622,-0.10793262019530235,1.5079794450042268,6.2772136494444695,-0.12797363057198827,0.48160060363984347,1.9931790754178371,0.018183439605541845,-0.07063424257632248,-0.2916712816695391,0.03294254774977081,-0.019444834094587034,0.005870089673397441,-0.0007859817002782284,-0.0012163914230897553
2,2,singlet,0.00037867819418077386,0.1599718494476652,0.16009249473420684,0.0026289070241277586,0.0028258694210993294,0.00023049517359687922,0.1374995978010769,0.47811651472989736,1.8704321976205893,-0.03966958630692717,-0.0848921693147508,-0.1259761241935242,0.00901633963611167,0.015711295469530415,0.01870695460575261,0.3660159421929825,-0.3318913369500535,0.10430300344907349,-1.568851506739374e-05,-0.00010495677147423309
3,3,singlet,0.0014570000963634964,0.17436165113525265,0.17442982531590423,0.010114967923545909,0.009300689599653252,-0.009445886619270238,0.08083082502794864,0.8269943353025695,3.464518166766767,-0.21813059802721546,0.19081444048128954,-0.05500935975371185,0.03725328229030452,-0.03084851823363709,0.009648174662901935,-0.25587888502863454,-0.24249056024301952,0.04196166567576619,-1.926516098974083e-05,-4.890901966183514e-05
4,4,singlet,0.00045675638119749897,0.18670738773918616,0.18832898018311825,0.0031709511593161765,0.008551322495665651,0.004876239928909451,1.1576026986411057,-0.789845189723902,-0.4792482525651871,0.10303398917981078,0.11629448018433385,0.03653616128496341,-0.03367138204248571,-0.03539843201182946,-0.002842827777841302,0.16146863718698296,-0.18322286026017798,0.0487190160775033,-2.4837716592283877e-05,-0.0015967547273398183
