,run,n_sites,theta,exp_order,ediff,direct,fmm
0,0,193596,0.5,5,0.0002057002091078175,65151.62632896204,5725.2274472370045
1,1,193596,0.5,5,0.0002057005303868209,66177.189425449,5687.44414380996
2,2,193596,0.5,5,0.00020570020774357545,65789.91092942795,5682.774443116039
