,excitation,kind,cross_section,excitation_energy,excitation_energy_uncorrected,oscillator_strength,oscillator_strength_velocity,rotatory_strength,state_dipole_moment_x,state_dipole_moment_y,state_dipole_moment_z,transition_dipole_moment_x,transition_dipole_moment_y,transition_dipole_moment_z,transition_dipole_moment_velocity_x,transition_dipole_moment_velocity_y,transition_dipole_moment_velocity_z,transition_magnetic_dipole_moment_x,transition_magnetic_dipole_moment_y,transition_magnetic_dipole_moment_z,pe_ptlr_correction,pe_ptss_correction
0,0,singlet,1.505759893293766e-07,0.13510761584527436,0.13521702104770955,1.04534742717193e-06,1.1961887712524011e-06,0.0007302791290998478,0.15683673161447192,0.4318120728954935,1.8057136531966442,-0.0019109179147006623,0.001976251801908288,-0.002012098755277395,3.5072841095369614e-05,-0.0003913292936002043,-0.0002967365822831157,0.015412533269867072,-0.06467343405407695,-0.24539307179671113,-2.2048437333020543e-06,-0.00010720035870187389
1,1,singlet,0.06299193443027729,0.1578747648104422,0.15982443125601398,0.43731046950143854,0.37666040564808656,0.001518587663084913,-0.11983257661679145,1.4868091844886286,6.197970885768101,-0.12925664818325133,0.473924711980205,1.978298033005195,0.018606442152707632,-0.06942683639949031,-0.28988182787236333,0.059501685242843785,-0.04360815905095077,0.01343631833360144,-0.0007772881759149487,-0.0011723782696568675
2,2,singlet,0.0013216252016744947,0.15995154937874173,0.16007152271035338,0.00917515143290167,0.008432853288080088,0.00015845964106669746,0.11842095554925741,0.4887573286777158,1.9244594565301645,-0.030906134374835824,-0.1191093796212809,-0.26627216619088584,0.007760193295376476,0.02077570420249869,0.039133380106715965,0.3624633936127704,-0.329410108542964,0.1036528619176157,-2.6180137273988817e-05,-9.379319433766436e-05
3,3,singlet,0.0014522395299029222,0.17442360682997357,0.17449141480709154,0.010081918524876134,0.009280773300522434,-0.009972339966291781,0.06477838226874606,0.8208243458841071,3.4503649404761867,-0.2181944638721032,0.19050824518925988,-0.052913110130110005,0.03734379019118434,-0.030783200815727576,0.00927441704734346,-0.2560149293235824,-0.2414836708987365,0.041783323312117225,-1.9312602304285603e-05,-4.8495374813692814e-05
4,4,singlet,0.00046686751758650576,0.186675483356658,0.18829776416633448,0.0032411459523712114,0.008793695295866419,0.005056089661440157,1.0583568607254943,-0.7820509219171239,-0.525050720643133,-0.10579335968768847,-0.11746956745140559,-0.03244007548782327,0.03430769207087017,0.03578384127285404,0.0022022598166632503,-0.16249133710773422,0.18523008612931438,-0.04980940988816741,-2.507377700978378e-05,-0.0015972070326666981
