,excitation,kind,cross_section,excitation_energy,excitation_energy_uncorrected,oscillator_strength,oscillator_strength_velocity,rotatory_strength,state_dipole_moment_x,state_dipole_moment_y,state_dipole_moment_z,transition_dipole_moment_x,transition_dipole_moment_y,transition_dipole_moment_z,transition_dipole_moment_velocity_x,transition_dipole_moment_velocity_y,transition_dipole_moment_velocity_z,transition_magnetic_dipole_moment_x,transition_magnetic_dipole_moment_y,transition_magnetic_dipole_moment_z,pe_ptlr_correction,pe_ptss_correction
0,0,singlet,6.383861431295335e-07,0.13516306627701202,0.1352719721846789,4.431883962607814e-06,7.0697991631415935e-06,-0.0010478131191729316,0.17303920921322613,0.4366816522506367,1.8193656624247039,-0.0032714217540750126,0.0015401600262655933,-0.006009114158907374,0.0006968767349194962,-0.0005921173443418054,0.0007727376437943587,0.013793210047652224,-0.06532625477895783,-0.24577372575990908,-2.250402623226403e-06,-0.00010665550504365333
1,1,singlet,0.06392645162733158,0.15751688593182223,0.15952372337299042,0.44379819142801835,0.3828300955543127,0.0016495783636301501,-0.10790649239042388,1.5092217846002547,6.284534655262016,0.12779374095663898,-0.4822650744084066,-1.9943132902995258,-0.018130444763951,0.07073089749544469,0.2917562918793631,-0.030305978293317215,0.017054633280825748,-0.005127272242519374,-0.0007868104005876104,-0.0012200270405805858
2,2,singlet,0.00031971523719555805,0.15998532101621968,0.16010602115191547,0.0022195670247197683,0.0024721072740413654,0.00016373861122958346,0.13805564510609958,0.47734597891491015,1.8688920774276507,-0.04060628815206603,-0.08153395278270854,-0.11186462345322257,0.00914110018696229,0.015240399330063535,0.016655984791304788,0.36625451486824173,-0.33199513766356115,0.10434477788919669,-1.5066332411989711e-05,-0.00010563380328378354
3,3,singlet,0.001454635303803527,0.1743582946652352,0.17442651598380157,0.01009855076547596,0.009287517201922602,-0.009385313677295146,0.08119865500810952,0.8271293810827249,3.467497501360584,0.21792786487508686,-0.19066711724564506,0.05505518127445154,-0.03721685148079605,0.030832206368066346,-0.009659943469567013,0.2558971142402573,0.2426530906733954,-0.0420030863699673,-1.923509293761606e-05,-4.8986225628775756e-05
4,4,singlet,0.0004562797712385196,0.186735638892021,0.18835724616233748,0.0031676423781711706,0.008539777829740271,0.00483616774627156,1.1615307833420796,-0.7912847405924206,-0.4747890018113421,0.10302383206746109,0.11615357719537994,0.036596501385913666,-0.03365775609755829,-0.03536943028374123,-0.002860097800695956,0.16145403946976108,-0.18310849685791306,0.04866185296704418,-2.4828001329916544e-05,-0.0015967792689865674
