,excitation,kind,cross_section,excitation_energy,excitation_energy_uncorrected,oscillator_strength,oscillator_strength_velocity,rotatory_strength,state_dipole_moment_x,state_dipole_moment_y,state_dipole_moment_z,transition_dipole_moment_x,transition_dipole_moment_y,transition_dipole_moment_z,transition_dipole_moment_velocity_x,transition_dipole_moment_velocity_y,transition_dipole_moment_velocity_z,transition_magnetic_dipole_moment_x,transition_magnetic_dipole_moment_y,transition_magnetic_dipole_moment_z,pe_ptlr_correction,pe_ptss_correction
0,0,singlet,6.37990536555779e-07,0.13516303770097166,0.13527194362301515,4.429137533274104e-06,7.06166919554703e-06,-0.0010469848108476377,0.17303881097982204,0.43668208787490936,1.8193578650473672,0.0032709097778897854,-0.0015397814175872526,0.006006954295759639,-0.0006965753442148237,0.000591802213347196,-0.0007721838639039475,-0.013793940900351135,0.06532591714560723,0.2457733161994667,-2.2503627795918205e-06,-0.00010665555926388953
1,1,singlet,0.06392628533292337,0.15751709054373222,0.15952391375575248,0.44379703695822165,0.3828288630112041,0.0016495316954563675,-0.10790522890571101,1.5092191949851068,6.284511024035842,-0.1277944014977196,0.4822628239230907,1.9943096595521603,0.018130637823698226,-0.07073056667022097,-0.29175606236572044,0.030314090141410222,-0.01706195326865306,0.005129579714431299,-0.0007868075570198797,-0.0012200156550003873
2,2,singlet,0.0003198887025094752,0.15998530100938865,0.16010600098355038,0.0022207712772730104,0.002473156994469935,0.00016355680694850973,0.13805484563161646,0.47734937115416276,1.8688950867225067,-0.04060333433568468,-0.08154462349808032,-0.11190838753624502,0.009140639586645783,0.015241978856413128,0.016662350908359852,0.3662538433204144,-0.33199460577566603,0.10434464363487013,-1.5068143645062408e-05,-0.00010563183051665158
3,3,singlet,0.0014546369246850358,0.17435832722955752,0.17442654834138965,0.01009856201816188,0.009287528460958646,-0.009385408881610043,0.08119852835678446,0.8271308850308915,3.4674874667689197,0.21792806205171783,-0.19066717269002637,0.055054940581524825,-0.03721690185117802,0.030832216662418158,-0.009659892447950449,0.25589685506277143,0.24265267246984756,-0.04200297020017949,-1.9235112980370415e-05,-4.898599885175869e-05
4,4,singlet,0.00045628463319591594,0.18673550581606818,0.18835711342947783,0.00316767613145865,0.00853985311714279,0.0048363147363231496,1.1615198928483286,-0.7912662989224193,-0.4748108424678734,-0.10302399917345391,-0.11615453493003089,-0.03659694327745567,0.0336578185747531,0.03536964257354115,0.002860125896849518,-0.16145435622099613,0.1831088065130055,-0.048662169110514776,-2.4828180013980427e-05,-0.0015967794333956607
