,excitation,kind,cross_section,excitation_energy,excitation_energy_uncorrected,oscillator_strength,oscillator_strength_velocity,rotatory_strength,state_dipole_moment_x,state_dipole_moment_y,state_dipole_moment_z,transition_dipole_moment_x,transition_dipole_moment_y,transition_dipole_moment_z,transition_dipole_moment_velocity_x,transition_dipole_moment_velocity_y,transition_dipole_moment_velocity_z,transition_magnetic_dipole_moment_x,transition_magnetic_dipole_moment_y,transition_magnetic_dipole_moment_z,pe_ptlr_correction,pe_ptss_correction
0,0,singlet,6.379423358058431e-07,0.1351630356711199,0.13527194157635128,4.428802908011752e-06,7.060690006083708e-06,-0.0010468876159546456,0.17303878700374084,0.43668201671305684,1.8193574591976445,0.003270841301225405,-0.0015397326322637158,0.0060066950370573,-0.0006965379452364428,0.0005917639597099958,-0.0007721183520462771,-0.01379401567434985,0.06532585399601742,0.2457732665497491,-2.250357813016682e-06,-0.00010665554741838451
1,1,singlet,0.06392627691421196,0.15751710093404453,0.15952392345350322,0.44379697851279254,0.3828288003832382,0.0016495336417179398,-0.10790510063585548,1.509218939504553,6.284509810767067,-0.12779444793371614,0.48226272209296556,1.9943094717715617,0.018130649201315442,-0.07073055127790463,-0.2917560502562049,0.030314494758058856,-0.017062314849030865,0.005129691902093456,-0.0007868074152399847,-0.001220015104218709
2,2,singlet,0.0003198971523760522,0.1599852989869514,0.1601059989517241,0.002220829938991426,0.002473207460272378,0.00016353107019613535,0.13805494399488885,0.47734936820713936,1.8688952014479803,0.04060318330763408,0.08154515119721355,0.11191051635325243,-0.00914061401524922,-0.015242058193061216,-0.01666265554904793,-0.3662538177221138,0.3319945851311821,-0.1043446267602726,-1.5068232437559614e-05,-0.00010563173233512676
3,3,singlet,0.001454636640583925,0.17435832941270815,0.1744265505032108,0.010098560045839687,0.009287527205451115,-0.009385421676625443,0.08119861785022847,0.827130783568961,3.4674869088550473,0.217928050540398,-0.19066714418788658,0.0550549208783706,-0.037216902518244735,0.030832211901507155,-0.009659889651767815,0.25589684945439756,0.2426526418931676,-0.04200296254058171,-1.9235109116366805e-05,-4.8985981386268684e-05
4,4,singlet,0.00045628486405537396,0.18673549172247197,0.18835709996926647,0.003167677734159994,0.008539858158894959,0.0048363266381960335,1.1615199123296795,-0.7912662820422144,-0.4748121150534792,0.10302400526300783,0.11615459733572618,0.03659693019421655,-0.03365782303773625,-0.035369656114840754,-0.002860121237021343,0.16145437399992882,-0.1831088287349429,0.04866217574015697,-2.4828187974152872e-05,-0.001596780058820359
