,run,n_sites,theta,exp_order,ediff,direct,fmm
0,0,60498,0.5,5,5.058061196905328e-05,7086.195786740049,1493.938222077908
1,1,60498,0.5,5,5.058061105955858e-05,6947.973346128012,1486.6327355640242
2,2,60498,0.5,5,5.0580612651174306e-05,6863.001558916061,1494.0078515049536
